strains decay evolvability N0
ATCC13985 -0.00537416782224412 2.81254311711377e-06 7.12473101914279
ATCC43928 -0.00569850981237963 3.44946074545678e-06 6.77413657002144
KBS0701 -0.015641785438804 1.75192496803685e-05 5.84736080431262
KBS0702 -0.00356961215722775 0 7.10198373810574
KBS0703 -0.00440975716292113 1.08417882822047e-06 7.21205962348545
KBS0704 -0.523576082067029 0.00576155235821076 6.95667689687731
KBS0705 -0.0108155657712686 1.07047022925064e-05 6.87667616848209
KBS0706 -0.0017193518612442 0 6.33737092632589
KBS0707 -0.00679809024906883 5.87816315588969e-06 5.74079291076916
KBS0710 -0.00597824900619861 2.52744235800005e-06 6.77004573885237
KBS0711 -0.0080878760220804 2.67763770398216e-06 6.33243815901024
KBS0711W -0.0111481539227082 1.07707646817573e-05 6.7210096885995
KBS0712 -0.00172176058620004 0 6.50155317331562
KBS0713 -0.00750169721384422 6.34671119411754e-06 6.86006909705186
KBS0714 -0.0210586103299335 0 5.17972047079848
KBS0715 -0.00698662682740465 6.3086661851959e-06 5.87148166801771
KBS0721 -0.00776835107693591 5.58332302197608e-06 6.20118156999344
KBS0722 -0.00161879626776292 0 6.63168180609786
KBS0724 -0.00867761626354359 5.17955018079458e-06 6.66299394471639
KBS0725 -0.00894616217403994 0 6.9399399954507
KBS0727 -0.00706848420236188 0 6.70719563022448
KBS0801 -0.00319019787476503 0 7.44297162258156
KBS0802 -0.0124031207479894 1.01435912777251e-05 7.20610839965237
KBS0812 -3.74648860957405e-05 0 5.02731838199706
KBS0816 -0.0796661061938345 0 5.2343034878152
